hour,updated_type,updated_subtype,longitude,latitude,alert_count
01:00,Road Closed,Unclassified,-87.63,41.89,15
01:00,Road Closed,Unclassified,-87.67,41.88,14
01:00,Road Closed,Unclassified,-87.64,41.83,14
01:00,Road Closed,Unclassified,-87.63,41.87,14
01:00,Road Closed,Unclassified,-87.64,41.89,12
01:00,Road Closed,Unclassified,-87.69,41.88,11
01:00,Road Closed,Unclassified,-87.64,41.87,11
02:00,Accident,Major,-87.65,41.85,13
02:00,Accident,Major,-87.65,41.84,8
02:00,Accident,Major,-87.65,41.87,7
02:00,Accident,Major,-87.65,41.88,7
02:00,Accident,Major,-87.64,41.81,7
02:00,Accident,Major,-87.66,41.89,6
02:00,Accident,Major,-87.65,41.86,6
02:00,Accident,Major,-87.63,41.75,6
02:00,Accident,Major,-87.6,41.69,6
02:00,Accident,Major,-87.77,41.87,5
02:00,Accident,Minor,-87.62,41.89,6
02:00,Accident,Minor,-87.67,41.91,3
02:00,Accident,Minor,-87.66,41.89,3
02:00,Accident,Minor,-87.63,41.91,3
02:00,Accident,Minor,-87.8,41.98,2
02:00,Accident,Minor,-87.71,41.82,2
02:00,Accident,Minor,-87.68,41.83,2
02:00,Accident,Minor,-87.68,41.87,2
02:00,Accident,Minor,-87.67,42.0,2
02:00,Accident,Minor,-87.64,41.8,2
02:00,Accident,Unclassified,-87.66,41.89,21
02:00,Accident,Unclassified,-87.67,41.9,19
02:00,Accident,Unclassified,-87.62,41.89,18
02:00,Accident,Unclassified,-87.65,41.86,17
02:00,Accident,Unclassified,-87.65,41.87,15
02:00,Accident,Unclassified,-87.65,41.88,15
02:00,Accident,Unclassified,-87.67,41.91,13
02:00,Accident,Unclassified,-87.65,41.85,12
02:00,Accident,Unclassified,-87.69,41.92,11
02:00,Accident,Unclassified,-87.65,41.84,11
02:00,Hazard,On Road,-87.66,41.89,77
02:00,Hazard,On Road,-87.67,41.91,61
02:00,Hazard,On Road,-87.65,41.86,61
02:00,Hazard,On Road,-87.65,41.88,56
02:00,Hazard,On Road,-87.64,41.8,56
02:00,Hazard,On Road,-87.67,41.87,51
02:00,Hazard,On Road,-87.64,41.84,49
02:00,Hazard,On Road,-87.65,41.87,44
02:00,Hazard,On Road,-87.69,41.92,40
02:00,Hazard,On Road,-87.64,41.89,40
02:00,Hazard,On Shoulder,-87.66,41.89,175
02:00,Hazard,On Shoulder,-87.65,41.87,152
02:00,Hazard,On Shoulder,-87.59,41.65,143
02:00,Hazard,On Shoulder,-87.67,41.9,121
02:00,Hazard,On Shoulder,-87.65,41.86,107
02:00,Hazard,On Shoulder,-87.64,41.84,99
02:00,Hazard,On Shoulder,-87.64,41.83,93
02:00,Hazard,On Shoulder,-87.6,41.66,92
02:00,Hazard,On Shoulder,-87.64,41.82,90
02:00,Hazard,On Shoulder,-87.64,41.78,89
02:00,Hazard,Unclassified,-87.82,41.98,13
02:00,Hazard,Unclassified,-87.81,41.98,10
02:00,Hazard,Unclassified,-87.66,41.89,9
02:00,Hazard,Unclassified,-87.7,41.86,8
02:00,Hazard,Unclassified,-87.84,41.98,7
02:00,Hazard,Unclassified,-87.74,41.85,6
02:00,Hazard,Unclassified,-87.74,41.86,6
02:00,Hazard,Unclassified,-87.64,41.84,6
02:00,Hazard,Unclassified,-87.82,41.97,5
02:00,Hazard,Unclassified,-87.82,41.99,5
02:00,Hazard,Weather,-87.72,41.82,4
02:00,Hazard,Weather,-87.65,41.85,4
02:00,Hazard,Weather,-87.63,41.88,4
02:00,Hazard,Weather,-87.75,41.97,3
02:00,Hazard,Weather,-87.7,41.83,3
02:00,Hazard,Weather,-87.69,41.92,3
02:00,Hazard,Weather,-87.68,41.83,3
02:00,Hazard,Weather,-87.67,41.91,3
02:00,Hazard,Weather,-87.67,41.99,3
02:00,Hazard,Weather,-87.65,41.86,3
02:00,Jam,Heavy Traffic,-87.66,41.89,201
02:00,Jam,Heavy Traffic,-87.67,41.9,131
02:00,Jam,Heavy Traffic,-87.65,41.87,78
02:00,Jam,Heavy Traffic,-87.65,41.86,61
02:00,Jam,Heavy Traffic,-87.67,41.91,59
02:00,Jam,Heavy Traffic,-87.65,41.85,59
02:00,Jam,Heavy Traffic,-87.65,41.88,56
02:00,Jam,Heavy Traffic,-87.75,41.96,37
02:00,Jam,Heavy Traffic,-87.69,41.92,35
02:00,Jam,Heavy Traffic,-87.77,41.97,33
02:00,Jam,Moderate Traffic,-87.65,41.95,5
02:00,Jam,Moderate Traffic,-87.73,41.97,3
02:00,Jam,Moderate Traffic,-87.7,41.87,3
02:00,Jam,Moderate Traffic,-87.66,41.89,3
02:00,Jam,Moderate Traffic,-87.65,41.88,3
02:00,Jam,Moderate Traffic,-87.65,41.94,3
02:00,Jam,Moderate Traffic,-87.76,41.98,2
02:00,Jam,Moderate Traffic,-87.73,41.87,2
02:00,Jam,Moderate Traffic,-87.68,41.93,2
02:00,Jam,Moderate Traffic,-87.67,41.9,2
02:00,Jam,Stand Still Traffic,-87.66,41.89,133
02:00,Jam,Stand Still Traffic,-87.65,41.87,65
02:00,Jam,Stand Still Traffic,-87.67,41.9,58
02:00,Jam,Stand Still Traffic,-87.65,41.85,46
02:00,Jam,Stand Still Traffic,-87.65,41.88,40
02:00,Jam,Stand Still Traffic,-87.62,41.88,33
02:00,Jam,Stand Still Traffic,-87.69,41.92,30
02:00,Jam,Stand Still Traffic,-87.62,41.89,30
02:00,Jam,Stand Still Traffic,-87.67,41.91,29
02:00,Jam,Stand Still Traffic,-87.65,41.86,27
02:00,Jam,Unclassified,-87.66,41.89,57
02:00,Jam,Unclassified,-87.67,41.9,38
02:00,Jam,Unclassified,-87.65,41.88,32
02:00,Jam,Unclassified,-87.67,41.91,20
02:00,Jam,Unclassified,-87.65,41.87,19
02:00,Jam,Unclassified,-87.69,41.92,17
02:00,Jam,Unclassified,-87.62,41.89,17
02:00,Jam,Unclassified,-87.75,41.96,16
02:00,Jam,Unclassified,-87.65,41.86,16
02:00,Jam,Unclassified,-87.65,41.85,14
02:00,Road Closed,Construction,-87.74,41.95,1
02:00,Road Closed,Construction,-87.64,41.83,1
02:00,Road Closed,Event,-87.75,41.96,580
02:00,Road Closed,Event,-87.65,41.88,396
02:00,Road Closed,Event,-87.6,41.69,195
02:00,Road Closed,Event,-87.64,41.83,192
02:00,Road Closed,Event,-87.64,41.71,190
02:00,Road Closed,Event,-87.65,41.86,50
02:00,Road Closed,Event,-87.8,41.99,19
02:00,Road Closed,Event,-87.64,41.92,19
02:00,Road Closed,Event,-87.66,41.98,16
02:00,Road Closed,Event,-87.63,41.91,15
